"Órgão Sup UResp Compra ID","Órgão Vinc UResp Compra DESC","Órgão UResp Compra ID","Órgão UResp Compra DESC","Cod UResp Compra DESC","Cod UResp Compra NOME","UF UResp Compra DESC","Municipio UResp Compra DESC","Número Processo Compra DESC","Modalidade Compra DESC","Identif Compra DESC","Tipo Licitação DESC","Inciso Disp Legal DESC","Forma Compra DESC","Objeto Compra DESC","Dia Abert Sessão Publ ID","Sit Atual Compra DESC","Existência Result Compra DESC","Dia Homologação Compra DESC","Sub-rogação Compra DESC","Valor Total Homologado"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","23243000343201692","Pregão","15814805000052016","Não se Aplica","NAO SE APLICA","SISPP","Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviço de Seguro Total de Veículos Automotores para cobertura da Frota de veículos oficiais (automóveis, motocicletas, ônibus e caminhão) do Instituto Federal de Ciência Tecnologia e Educação de Rondônia ? IFRO.",12/4/2016,"Publicado","Existe Resultado de Compra","22 Abr 2016","Não Subrogou Compra","340.397,8300"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","23243003505201644","Pregão","15814805000082016","Não se Aplica","NAO SE APLICA","SISPP","Objeto: Pregão Eletrônico -  O presente Pregão Eletrônico tem como objeto a contratação de pessoa jurídica para prestação do serviço de arbitragem para atender aos JOGOS DO INSTITUTO FEDERAL DE RONDÔNIA ? JIFRO 2016, a ser realizado no município de Ji-Paraná/RO.",12/7/2016,"Publicado","Existe Resultado de Compra","14 Jul 2016","Não Subrogou Compra","29.497,8700"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","23243005043201519","Pregão","15814805000122015","Não se Aplica","NAO SE APLICA","SISRP","Objeto: Pregão Eletrônico -  Contratação dos Serviços Continuados de Apoio Administrativo e Manutenção Predial",20/11/2015,"Publicado","Existe Resultado de Compra","23 Dez 2015","Não Subrogou Compra","2.415.555,9600"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","23243003346201505","Pregão","15814805000012016","Não se Aplica","NAO SE APLICA","SISRP","Objeto: Pregão Eletrônico -  Contratação de Empresa para Realização de Exames Periódicos.",5/2/2016,"Publicado","Existe Resultado de Compra","16 Mai 2016","Não Subrogou Compra","244.524,8400"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","23243000377201687","Pregão","15814805000022016","Não se Aplica","NAO SE APLICA","SISRP","Objeto: Pregão Eletrônico -  Contratação de empresa especializada para prestação do serviço de hospedagem com fornecimento de alimentação nos municípios de Porto Velho/RO, Ariquemes/RO, Ji-Paraná/RO, Cacoal/RO, Vilhena/RO, Guajará-Mirim/RO e Colorado do Oeste/RO para atender as demandas da Reitoria e dos Campi do INSTITUTO FEDERAL DE RONDÔNIA   IFRO.",1/3/2016,"Publicado","Existe Resultado de Compra","15 Mar 2016","Não Subrogou Compra","2.016.833,8200"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","23243004874201573","Pregão","15814805000032016","Não se Aplica","NAO SE APLICA","SISRP","Objeto: Pregão Eletrônico -  Aquisição de Materiais Permanentes de TI - (Computadores e Outros).",17/3/2016,"Evento de Alteração Publicado","Existe Resultado de Compra","22 Jul 2016","Não Subrogou Compra","921.149,9600"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","000484/2016-13","Pregão","15814805000042016","Não se Aplica","NAO SE APLICA","SISRP","Objeto: Pregão Eletrônico -  Aquisição de Aparelho de Ar Condicionado 36.000 BTUs/h",12/4/2016,"Publicado","Existe Resultado de Compra","13 Mai 2016","Não Subrogou Compra","531.547,5000"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","002532/2016-08","Pregão","15814805000062016","Não se Aplica","NAO SE APLICA","SISRP","Objeto: Pregão Eletrônico -  Aquisição de material permanente, mobiliário",14/7/2016,"Evento de Alteração Publicado","Existe Resultado de Compra","25 Jul 2016","Não Subrogou Compra","113.875,1000"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","23243002798201642","Pregão","15814805000072016","Não se Aplica","NAO SE APLICA","SISRP","Objeto: Pregão Eletrônico -  Aquisição de película e persianas",20/7/2016,"Evento de Alteração Publicado","Existe Resultado de Compra","28 Jul 2016","Não Subrogou Compra","195.110,9000"
26000,"MINISTERIO DA EDUCACAO",26421,"INST.FED.DE EDUC.,CIENC.E TEC. DE RONDONIA",158148,"INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA","RO","PORTO VELHO","002799/2016-97","Pregão","15814805000092016","Não se Aplica","NAO SE APLICA","SISRP","Objeto: Pregão Eletrônico -  Materias Diversos",17/8/2016,"Publicado","Existe Resultado de Compra","16 Set 2016","Não Subrogou Compra","124.018,0660"
