id,id_filme,data_retirada,data_devolucao
1,15,10/01/2023,17/01/2023
2,152,15/01/2023,22/01/2023
3,30,20/01/2023,27/01/2023
4,45,05/02/2023,12/02/2023
5,200,10/02/2023,17/02/2023
6,10,20/02/2023,27/02/2023
7,189,05/03/2023,12/03/2023
8,5,15/03/2023,22/03/2023
9,77,01/04/2023,08/04/2023
10,120,10/04/2023,17/04/2023
11,3,20/04/2023,27/04/2023
12,99,05/05/2023,12/05/2023
13,160,15/05/2023,22/05/2023
14,25,01/06/2023,08/06/2023
15,140,10/06/2023,17/06/2023
16,8,20/06/2023,27/06/2023
17,112,05/07/2023,12/07/2023
18,50,15/07/2023,22/07/2023
19,175,01/08/2023,08/08/2023
20,12,10/08/2023,17/08/2023
21,66,20/08/2023,27/08/2023
22,195,01/09/2023,08/09/2023
23,1,10/09/2023,17/09/2023
24,44,20/09/2023,27/09/2023
25,130,05/10/2023,12/10/2023
26,88,15/10/2023,22/10/2023
27,105,01/11/2023,08/11/2023
28,33,10/11/2023,17/11/2023
29,150,20/11/2023,27/11/2023
30,7,01/12/2023,08/12/2023
31,180,10/12/2023,17/12/2023
32,2,20/12/2023,27/12/2023
33,124,05/01/2024,12/01/2024
34,91,15/01/2024,22/01/2024
35,55,01/02/2024,08/02/2024
36,19,10/02/2024,17/02/2024
37,143,20/02/2024,27/02/2024
38,82,05/03/2024,12/03/2024
39,166,15/03/2024,22/03/2024
40,11,01/04/2024,08/04/2024
41,4,10/04/2024,17/04/2024
42,199,20/04/2024,27/04/2024
43,22,05/05/2024,12/05/2024
44,133,15/05/2024,22/05/2024
45,60,01/06/2024,08/06/2024
46,128,10/06/2024,17/06/2024
47,9,20/06/2024,27/06/2024
48,155,05/07/2024,12/07/2024
49,38,15/07/2024,22/07/2024
50,110,01/08/2024,08/08/2024
51,182,10/08/2024,17/08/2024
52,14,20/08/2024,27/08/2024
53,190,05/09/2024,12/09/2024
54,23,15/09/2024,22/09/2024
55,108,01/10/2024,08/10/2024
56,41,10/10/2024,17/10/2024
57,159,20/10/2024,27/10/2024
58,28,01/11/2024,08/11/2024
59,167,10/11/2024,17/11/2024
60,85,20/11/2024,27/11/2024
61,121,01/12/2024,08/12/2024
62,6,10/12/2024,17/12/2024
63,144,20/12/2024,27/12/2024
64,52,02/01/2023,09/01/2023
65,198,12/01/2023,19/01/2023
66,13,22/01/2023,29/01/2023
67,170,01/02/2023,08/02/2023
68,36,11/02/2023,18/02/2023
69,115,21/02/2023,28/02/2023
70,71,03/03/2023,10/03/2023
71,162,13/03/2023,20/03/2023
72,40,23/03/2023,30/03/2023
73,193,02/04/2023,09/04/2023
74,80,12/04/2023,19/04/2023
75,125,22/04/2023,29/04/2023
76,21,02/05/2023,09/05/2023
77,147,12/05/2023,19/05/2023
78,57,22/05/2023,29/05/2023
79,185,01/06/2023,08/06/2023
80,94,11/06/2023,18/06/2023
81,118,21/06/2023,28/06/2023
82,32,01/07/2023,08/07/2023
83,156,11/04/2023,25/04/2023
84,42,05/01/2024,12/01/2024
85,131,15/01/2024,22/01/2024
86,67,25/01/2024,01/02/2024
87,197,05/02/2024,12/02/2024
88,81,15/02/2024,22/02/2024
89,119,25/02/2024,03/03/2024
90,58,05/03/2024,12/03/2024
91,172,15/03/2024,22/03/2024
92,29,25/03/2024,01/04/2024
93,137,05/04/2024,12/04/2024
94,92,15/04/2024,22/04/2024
95,161,25/04/2024,02/05/2024
96,49,05/05/2024,12/05/2024
97,184,15/05/2024,22/05/2024
98,12,25/05/2024,01/06/2024
99,73,05/06/2024,12/06/2024
100,195,15/06/2024,22/06/2024
101,38,25/06/2024,02/07/2024
102,114,05/07/2024,12/07/2024
103,51,15/07/2024,22/07/2024
104,165,25/07/2024,01/08/2002
105,191,25/05/2023,01/06/2023
106,140,05/06/2023,12/06/2023
107,166,15/06/2023,22/06/2023
108,149,25/06/2023,02/07/2023
109,130,05/07/2023,12/07/2023
110,159,15/07/2023,22/07/2023
111,144,25/07/2023,01/08/2023
112,17,05/08/2023,12/08/2023
113,125,15/08/2023,22/08/2023
114,185,25/08/2023,01/09/2023
115,146,05/09/2023,12/09/2023
116,200,15/09/2023,22/09/2023
117,55,25/09/2023,02/10/2023
118,102,05/10/2023,12/10/2023
119,188,15/10/2023,22/10/2023
120,42,25/10/2023,01/11/2023
121,131,05/11/2023,12/11/2023
122,10,15/11/2023,22/11/2023
123,145,25/11/2023,02/12/2023
124,197,05/12/2023,12/12/2023
125,154,15/12/2023,22/12/2023
126,119,25/12/2023,01/01/2024
127,172,05/01/2024,12/01/2024
128,137,15/01/2024,22/01/2024
129,161,25/01/2024,01/02/2024
130,184,05/02/2024,12/02/2024
131,73,15/02/2024,22/02/2024
132,38,25/02/2024,03/03/2024
133,51,05/03/2024,12/03/2024
134,15,15/10/2024,22/10/2024
135,15,01/11/2024,08/11/2024
136,30,10/11/2024,17/11/2024
137,30,01/12/2024,08/12/2024
138,152,05/01/2023,12/01/2023
139,152,20/02/2023,27/02/2023
140,10,10/03/2023,17/03/2023
