id,titulo,direcao,genero,categoria,valor_aluguel,dias_locacao,valor_multa
1,Inception,Christopher Nolan,Ficção Científica,Lançamento,25,2,5
2,O Poderoso Chefão,Francis Ford Coppola,Drama,Clássico,10,3,3
3,Matrix,Lana Wachowski,Ação,Favoritos,15,3,4
4,Parasita,Bong Joon-ho,Suspense,Premiados,20,2,5
5,O Rei Leão,Roger Allers,Animação,Infantil,12,3,3
6,Coringa,Todd Phillips,Drama,Lançamento,22,2,6
7,Vingadores: Ultimato,Anthony Russo,Ação,Blockbuster,25,2,7
8,Pulp Fiction,Quentin Tarantino,Policial,Cult,15,3,4
9,Interestelar,Christopher Nolan,Ficção Científica,Favoritos,18,2,5
10,Toy Story,John Lasseter,Animação,Infantil,10,5,2
11,O Iluminado,Stanley Kubrick,Terror,Clássico,12,3,4
12,Mad Max: Estrada da Fúria,George Miller,Ação,Lançamento,20,2,5
13,Cidade de Deus,Fernando Meirelles,Policial,Nacional,15,3,4
14,A Origem,Christopher Nolan,Ficção Científica,Premiados,18,2,5
15,Jurassic Park,Steven Spielberg,Aventura,Clássico,10,3,3
16,Gladiador,Ridley Scott,Ação,Épico,15,3,4
17,O Silêncio dos Inocentes,Jonathan Demme,Suspense,Clássico,12,3,4
18,Clube da Luta,David Fincher,Drama,Cult,15,3,4
19,O Auto da Compadecida,Guel Arraes,Comédia,Nacional,10,5,2
20,Duna,Denis Villeneuve,Ficção Científica,Lançamento,25,2,7
21,Shrek,Andrew Adamson,Animação,Infantil,10,5,2
22,Batman: O Cavaleiro das Trevas,Christopher Nolan,Ação,Blockbuster,18,2,5
23,Bastardos Inglórios,Quentin Tarantino,Guerra,Cult,15,3,4
24,O Lobo de Wall Street,Martin Scorsese,Biografia,Favoritos,18,3,5
25,Seven: Os Sete Crimes Capitais,David Fincher,Suspense,Clássico,12,3,4
26,A Lista de Schindler,Steven Spielberg,Drama,Premiados,15,3,4
27,De Volta para o Futuro,Robert Zemeckis,Aventura,Clássico,10,5,2
28,Top Gun: Maverick,Joseph Kosinski,Ação,Lançamento,25,2,7
29,Ratatouille,Brad Bird,Animação,Infantil,12,3,3
30,O Exterminador do Futuro 2,James Cameron,Ação,Clássico,10,3,3
31,Star Wars: Ep. IV,George Lucas,Fantasia,Clássico,10,5,2
32,Green Book,Peter Farrelly,Drama,Premiados,18,3,5
33,Hereditário,Ari Aster,Terror,Cult,20,2,6
34,Fragmentado,M. Night Shyamalan,Suspense,Favoritos,15,3,4
35,Como Treinar o Seu Dragão,Dean DeBlois,Animação,Infantil,12,3,3
36,John Wick,Chad Stahelski,Ação,Lançamento,22,2,6
37,La La Land,Damien Chazelle,Musical,Romance,15,3,4
38,O Chamado,Gore Verbinski,Terror,Clássico,10,3,3
39,Blade Runner 2049,Denis Villeneuve,Ficção Científica,Cult,20,2,5
40,Minions,Kyle Balda,Animação,Infantil,12,5,2
41,Django Livre,Quentin Tarantino,Faroeste,Favoritos,18,3,4
42,Titanic,James Cameron,Romance,Clássico,10,3,3
43,Avatar: O Caminho da Água,James Cameron,Ficção Científica,Lançamento,25,2,7
44,O Show de Truman,Peter Weir,Drama,Cult,12,3,4
45,Moana,Ron Clements,Animação,Infantil,15,3,3
46,Garota Exemplar,David Fincher,Suspense,Favoritos,15,3,4
47,1917,Sam Mendes,Guerra,Premiados,20,2,6
48,Scarface,Brian De Palma,Policial,Clássico,12,3,4
49,Up: Altas Aventuras,Pete Docter,Animação,Infantil,10,5,2
50,Elvis,Baz Luhrmann,Biografia,Lançamento,22,2,6
